away_team,home_team,Delta (ERA),Delta (RBI),Delta (SLG),Delta (AVG),home_team_win
Minnesota Twins,Cleveland Indians,-1.24,43,0.009,0.011,1
Pittsburgh Pirates,Chicago Cubs,-1.06,71,0.027,-0.001,1
Houston Astros,Boston Red Sox,-0.06,147,0.044,0.035,0
Detroit Tigers,Baltimore Orioles,-0.02,-9,0.005,-0.011,1
Cincinnati Reds,Philadelphia Phillies,-0.28,-104,-0.024,-0.016,0
Atlanta Braves,Philadelphia Phillies,0.12,-41,0,-0.015,0
New York Yankees,Oakland Athletics,0.35,-13,-0.01,-0.006,0
Milwaukee Brewers,New York Mets,-0.51,8,0.01,0.002,1
Toronto Blue Jays,Minnesota Twins,1.3,-38,-0.005,0.003,0
Washington Nationals,Miami Marlins,0.54,-109,-0.032,0.007,0
Texas Rangers,Houston Astros,-0.31,-57,-0.016,-0.015,0
Tampa Bay Rays,Detroit Tigers,0.04,72,0.012,0.024,0
Seattle Mariners,Cincinnati Reds,0.91,-57,-0.022,-0.003,0
Kansas City Royals,Chicago White Sox,-0.11,16,0.01,-0.004,0
Cleveland Indians,Boston Red Sox,0.16,103,0.031,0.02,0
Baltimore Orioles,Los Angeles Angels of Anaheim,0.06,-24,-0.038,0.004,0
Colorado Rockies,St. Louis Cardinals,-0.83,-60,-0.015,-0.02,1
Baltimore Orioles,Los Angeles Angels of Anaheim,0.06,-24,-0.038,0.004,1
St. Louis Cardinals,Washington Nationals,-0.57,-10,-0.016,0.001,1
Miami Marlins,Tampa Bay Rays,0.15,21,0.032,-0.02,0
Arizona Diamondbacks,Pittsburgh Pirates,-0.88,-13,-0.03,-0.004,1
Toronto Blue Jays,New York Yankees,0.38,-81,-0.021,0.004,0
Baltimore Orioles,Houston Astros,-0.16,-21,-0.026,-0.009,1
Colorado Rockies,Boston Red Sox,-0.91,31,0.004,0.007,0
Milwaukee Brewers,Atlanta Braves,0.43,-26,-0.023,0.011,0
New York Mets,Washington Nationals,-0.06,86,0.009,0.01,0
Los Angeles Angels of Anaheim,Texas Rangers,0.09,60,0.028,0.002,1
Miami Marlins,Tampa Bay Rays,0.15,21,0.032,-0.02,0
Chicago Cubs,St. Louis Cardinals,0.93,-22,0.013,-0.001,0
San Diego Padres,San Francisco Giants,-0.78,21,0.008,0.023,1
Houston Astros,Los Angeles Angels of Anaheim,0.22,-3,-0.012,0.013,0
Arizona Diamondbacks,Houston Astros,-1.03,-20,-0.015,-0.014,0
New York Yankees,Detroit Tigers,0.08,72,0.033,0.015,0
Cincinnati Reds,Colorado Rockies,0,127,0.049,0.019,0
Kansas City Royals,Cleveland Indians,-0.37,93,0.03,0.001,1
Los Angeles Dodgers,Chicago Cubs,-0.55,87,0.02,0.007,1
Boston Red Sox,Baltimore Orioles,0.22,-126,-0.018,-0.026,1
San Francisco Giants,Atlanta Braves,0.86,-60,-0.014,-0.003,0
New York Yankees,Toronto Blue Jays,-0.38,81,0.021,-0.004,1
Seattle Mariners,San Diego Padres,0.43,-81,-0.04,-0.024,1
Washington Nationals,Philadelphia Phillies,1.12,-161,-0.042,-0.016,0
Minnesota Twins,Oakland Athletics,-0.57,-56,-0.026,-0.005,1
Chicago White Sox,New York Mets,-0.53,-7,0.007,-0.011,0
San Francisco Giants,St. Louis Cardinals,0.43,70,0.044,-0.003,1
Baltimore Orioles,Toronto Blue Jays,-0.44,18,-0.017,-0.008,0
Houston Astros,Texas Rangers,0.31,57,0.016,0.015,1
Cleveland Indians,Seattle Mariners,0.16,2,0,-0.003,0
Los Angeles Angels of Anaheim,New York Yankees,-0.12,-39,0,-0.008,1
Miami Marlins,Minnesota Twins,1.03,64,0.027,-0.012,0
New York Mets,Milwaukee Brewers,0.51,-8,-0.01,-0.002,0
Pittsburgh Pirates,Colorado Rockies,0.7,109,0.055,0.018,1
St. Louis Cardinals,Cincinnati Reds,0.83,-67,-0.034,0.001,0
Washington Nationals,Chicago White Sox,0.59,-79,-0.016,0.001,1
Houston Astros,Texas Rangers,0.31,57,0.016,0.015,0
Boston Red Sox,San Francisco Giants,-0.35,-161,-0.063,-0.024,1
Cleveland Indians,Seattle Mariners,0.16,2,0,-0.003,1
Chicago Cubs,Atlanta Braves,1.36,-152,-0.045,-0.001,0
Detroit Tigers,Kansas City Royals,-0.03,-79,-0.038,-0.006,0
Baltimore Orioles,Boston Red Sox,-0.22,126,0.018,0.026,0
Cincinnati Reds,Atlanta Braves,-0.4,-63,-0.024,-0.001,1
Chicago Cubs,Washington Nationals,0.36,-32,-0.003,0,1
Seattle Mariners,Tampa Bay Rays,0.2,-88,-0.004,-0.016,1
Houston Astros,St. Louis Cardinals,0.02,56,0.025,0.008,0
Milwaukee Brewers,San Francisco Giants,-0.43,34,-0.009,0.014,1
Miami Marlins,San Diego Padres,0.38,28,-0.004,-0.028,1
Toronto Blue Jays,Philadelphia Phillies,0.85,-154,-0.042,-0.008,0
Texas Rangers,Oakland Athletics,0.14,-112,-0.038,-0.016,0
Pittsburgh Pirates,New York Mets,-0.64,-47,0.015,-0.011,1
Cleveland Indians,Kansas City Royals,0.37,-93,-0.03,-0.001,1
Los Angeles Angels of Anaheim,Oakland Athletics,0.23,-52,-0.01,-0.014,0
Colorado Rockies,New York Yankees,-0.75,-158,-0.052,-0.023,1
Philadelphia Phillies,Minnesota Twins,0.45,116,0.037,0.011,1
Atlanta Braves,Miami Marlins,-0.46,11,0.01,0.008,1
Washington Nationals,Los Angeles Dodgers,0.19,-55,-0.017,-0.007,1
Los Angeles Angels of Anaheim,Houston Astros,-0.22,3,0.012,-0.013,1
Seattle Mariners,Detroit Tigers,0.24,-16,0.008,0.008,1
Tampa Bay Rays,Cleveland Indians,-0.36,86,0.004,0.019,1
St. Louis Cardinals,Chicago Cubs,-0.93,22,-0.013,0.001,0
Chicago White Sox,Boston Red Sox,-0.1,180,0.051,0.025,0
San Diego Padres,Baltimore Orioles,-0.21,56,0.053,0.021,1
Arizona Diamondbacks,Toronto Blue Jays,-1.31,19,-0.006,-0.013,0
Cincinnati Reds,Texas Rangers,-0.54,68,0.025,0.006,0
Tampa Bay Rays,Baltimore Orioles,0.02,63,0.017,0.013,1
Kansas City Royals,St. Louis Cardinals,-0.13,105,0.042,-0.006,0
Pittsburgh Pirates,Seattle Mariners,-0.21,39,0.028,0.002,0
Baltimore Orioles,San Diego Padres,0.21,-56,-0.053,-0.021,0
San Francisco Giants,Oakland Athletics,0.86,-41,-0.003,-0.012,1
Texas Rangers,New York Yankees,-0.21,-99,-0.028,-0.01,1
Los Angeles Dodgers,Milwaukee Brewers,0.38,-39,-0.002,-0.005,1
Miami Marlins,Detroit Tigers,0.19,93,0.044,0.004,1
Toronto Blue Jays,Colorado Rockies,1.13,77,0.031,0.027,0
Chicago Cubs,Cincinnati Reds,1.76,-89,-0.021,0,0
Minnesota Twins,Chicago White Sox,-0.98,-34,-0.011,0.006,1
Cleveland Indians,Atlanta Braves,0.67,-118,-0.046,-0.007,0
Philadelphia Phillies,Arizona Diamondbacks,0.46,135,0.048,0.021,0
Colorado Rockies,Los Angeles Dodgers,-1.21,-125,-0.048,-0.026,1
Oakland Athletics,Minnesota Twins,0.57,56,0.026,0.005,1
Baltimore Orioles,Los Angeles Dodgers,-0.52,-30,-0.034,-0.007,0
Seattle Mariners,Houston Astros,0.06,-46,-0.013,-0.012,1
Detroit Tigers,Cleveland Indians,-0.4,14,-0.008,-0.005,0
Cincinnati Reds,Chicago Cubs,-1.76,89,0.021,0,0
New York Yankees,Chicago White Sox,-0.06,9,0.005,0.005,1
Texas Rangers,Boston Red Sox,-0.37,90,0.028,0.02,1
San Diego Padres,Arizona Diamondbacks,0.66,55,0.042,0.026,0
Milwaukee Brewers,Washington Nationals,-0.57,94,0.019,0.012,0
Kansas City Royals,Toronto Blue Jays,-0.43,88,0.026,-0.013,1
Los Angeles Angels of Anaheim,Tampa Bay Rays,-0.08,-39,0.021,-0.017,0
Pittsburgh Pirates,St. Louis Cardinals,-0.13,49,0.04,-0.002,0
Los Angeles Angels of Anaheim,Baltimore Orioles,-0.06,24,0.038,-0.004,1
Pittsburgh Pirates,Washington Nationals,-0.7,39,0.024,-0.001,1
Baltimore Orioles,Tampa Bay Rays,-0.02,-63,-0.017,-0.013,0
Miami Marlins,St. Louis Cardinals,0.03,119,0.048,-0.008,1
Houston Astros,Seattle Mariners,-0.06,46,0.013,0.012,1
San Francisco Giants,San Diego Padres,0.78,-21,-0.008,-0.023,1
New York Mets,Philadelphia Phillies,1.06,-75,-0.033,-0.006,1
Toronto Blue Jays,Oakland Athletics,0.73,-94,-0.031,-0.002,1
